PARENT_FILE,PARENT_COMPONENT,CHILD_FILE,CHILD_COMPONENT,EVIDENCE
src/app/features/admin/HistorialPagosModule.tsx,HistorialPagosModule,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/admin/HistorialPagosModule.tsx
src/app/features/admin/HistorialPagosModule.tsx,HistorialPagosModule,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/HistorialPagosModule.tsx
src/app/features/admin/HistorialPagosModule.tsx,HistorialPagosModule,src/shared/ui/Input.tsx,Input,<Input /> in src/app/features/admin/HistorialPagosModule.tsx
src/app/features/admin/HistorialPagosModule.tsx,HistorialPagosModule,src/app/components/ui/select.tsx,select,<Select /> in src/app/features/admin/HistorialPagosModule.tsx
src/app/features/admin/HistorialPagosModule.tsx,HistorialPagosModule,src/shared/ui/Table.tsx,Table,<Table /> in src/app/features/admin/HistorialPagosModule.tsx
src/app/features/admin/HistorialPagosModule.tsx,HistorialPagosModule,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/admin/HistorialPagosModule.tsx
src/app/features/admin/HistorialPagosModule.tsx,HistorialPagosModule,src/app/components/ui/dialog.tsx,dialog,<Dialog /> in src/app/features/admin/HistorialPagosModule.tsx
src/app/features/domiciliario/RutasModule.tsx,RutasModule,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/domiciliario/RutasModule.tsx
src/app/features/domiciliario/RutasModule.tsx,RutasModule,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/domiciliario/RutasModule.tsx
src/app/features/domiciliario/RutasModule.tsx,RutasModule,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/domiciliario/RutasModule.tsx
src/app/features/admin/NotificationsDropdown.tsx,NotificationsDropdown,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/admin/NotificationsDropdown.tsx
src/app/features/admin/NotificationsDropdown.tsx,NotificationsDropdown,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/NotificationsDropdown.tsx
src/shared/ui/Skeleton.tsx,Skeleton,src/shared/ui/Skeleton.tsx,Skeleton,<Skeleton /> in src/shared/ui/Skeleton.tsx
src/app/features/cliente/ResumenCliente.tsx,ResumenCliente,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/cliente/ResumenCliente.tsx
src/app/features/cliente/ResumenCliente.tsx,ResumenCliente,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/cliente/ResumenCliente.tsx
src/app/features/cliente/ResumenCliente.tsx,ResumenCliente,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/cliente/ResumenCliente.tsx
src/shared/ui/Pagination.tsx,Pagination,src/app/components/ui/button.tsx,button,<Button /> in src/shared/ui/Pagination.tsx
src/app/features/cliente/MetodosPagoCliente.tsx,MetodosPagoCliente,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/cliente/MetodosPagoCliente.tsx
src/app/features/cliente/MetodosPagoCliente.tsx,MetodosPagoCliente,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/cliente/MetodosPagoCliente.tsx
src/app/features/cliente/MetodosPagoCliente.tsx,MetodosPagoCliente,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/cliente/MetodosPagoCliente.tsx
src/app/features/cliente/MetodosPagoCliente.tsx,MetodosPagoCliente,src/app/components/ui/dialog.tsx,dialog,<Dialog /> in src/app/features/cliente/MetodosPagoCliente.tsx
src/app/features/cliente/MetodosPagoCliente.tsx,MetodosPagoCliente,src/app/components/ui/label.tsx,label,<Label /> in src/app/features/cliente/MetodosPagoCliente.tsx
src/app/features/cliente/MetodosPagoCliente.tsx,MetodosPagoCliente,src/shared/ui/Input.tsx,Input,<Input /> in src/app/features/cliente/MetodosPagoCliente.tsx
src/app/features/cliente/MisPedidosCliente.tsx,MisPedidosCliente,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/cliente/MisPedidosCliente.tsx
src/app/features/cliente/MisPedidosCliente.tsx,MisPedidosCliente,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/cliente/MisPedidosCliente.tsx
src/app/features/cliente/MisPedidosCliente.tsx,MisPedidosCliente,src/shared/ui/Input.tsx,Input,<Input /> in src/app/features/cliente/MisPedidosCliente.tsx
src/app/features/cliente/MisPedidosCliente.tsx,MisPedidosCliente,src/app/components/ui/select.tsx,select,<Select /> in src/app/features/cliente/MisPedidosCliente.tsx
src/app/features/cliente/MisPedidosCliente.tsx,MisPedidosCliente,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/cliente/MisPedidosCliente.tsx
src/app/features/cliente/MisPedidosCliente.tsx,MisPedidosCliente,src/app/components/ui/dialog.tsx,dialog,<Dialog /> in src/app/features/cliente/MisPedidosCliente.tsx
src/app/features/admin/DashboardGeneral.tsx,DashboardGeneral,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/admin/DashboardGeneral.tsx
src/app/features/admin/DashboardGeneral.tsx,DashboardGeneral,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/admin/DashboardGeneral.tsx
src/app/features/admin/DashboardGeneral.tsx,DashboardGeneral,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/DashboardGeneral.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/app/components/ui/dialog.tsx,dialog,<Dialog /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/app/components/ui/label.tsx,label,<Label /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/shared/ui/Input.tsx,Input,<Input /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/app/components/ui/select.tsx,select,<Select /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/InsumosModule.tsx,InsumosModule,src/shared/ui/Table.tsx,Table,<Table /> in src/app/features/admin/InsumosModule.tsx
src/app/features/admin/ProduccionModule.tsx,ProduccionModule,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/admin/ProduccionModule.tsx
src/app/features/admin/ProduccionModule.tsx,ProduccionModule,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/ProduccionModule.tsx
src/app/features/admin/ProduccionModule.tsx,ProduccionModule,src/shared/ui/Tabs.tsx,Tabs,<Tabs /> in src/app/features/admin/ProduccionModule.tsx
src/app/features/admin/ProduccionModule.tsx,ProduccionModule,src/shared/ui/Input.tsx,Input,<Input /> in src/app/features/admin/ProduccionModule.tsx
src/app/features/admin/ProduccionModule.tsx,ProduccionModule,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/admin/ProduccionModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/shared/ui/Tabs.tsx,Tabs,<Tabs /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/shared/ui/Input.tsx,Input,<Input /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/app/components/ui/dialog.tsx,dialog,<Dialog /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/app/components/ui/label.tsx,label,<Label /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/app/components/ui/select.tsx,select,<Select /> in src/app/features/admin/UsuariosModule.tsx
src/app/features/admin/UsuariosModule.tsx,UsuariosModule,src/app/components/ui/switch.tsx,switch,<Switch /> in src/app/features/admin/UsuariosModule.tsx
src/presentation/pages/features/CartPage.tsx,CartPage,src/presentation/components/CheckoutModal.tsx,CheckoutModal,<CheckoutModal /> in src/presentation/pages/features/CartPage.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/shared/ui/Tabs.tsx,Tabs,<Tabs /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/shared/ui/Input.tsx,Input,<Input /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/app/components/ui/dialog.tsx,dialog,<Dialog /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/app/components/ui/button.tsx,button,<Button /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/app/components/ui/label.tsx,label,<Label /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/app/components/ui/textarea.tsx,textarea,<Textarea /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/app/components/ui/switch.tsx,switch,<Switch /> in src/app/features/admin/ConfiguracionModule.tsx
src/app/features/admin/ConfiguracionModule.tsx,ConfiguracionModule,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/admin/ConfiguracionModule.tsx
src/shared/ui/Drawer.tsx,Drawer,src/app/components/ui/button.tsx,button,<Button /> in src/shared/ui/Drawer.tsx
src/app/features/admin/DevolucionesModule.tsx,DevolucionesModule,src/app/components/ui/badge.tsx,badge,<Badge /> in src/app/features/admin/DevolucionesModule.tsx
src/app/features/admin/DevolucionesModule.tsx,DevolucionesModule,src/shared/ui/Card.tsx,Card,<Card /> in src/app/features/admin/DevolucionesModule.tsx
