FILE,IMPORTS_COUNT,IMPORTS
src/app/App.tsx,6,react;src/app/components/ui/sonner.tsx;src/app/pages/SurtitelasLanding.tsx;src/app/components/AdminDashboard.tsx;src/app/components/SimpleLoginPage.tsx;src/app/contexts/ThemeContext.tsx
src/app/MODO_EXPORTACION.tsx,14,react;src/app/components/ui/sonner.tsx;./components/Navbar;src/app/components/Footer.tsx;src/app/components/HomePage.tsx;src/app/components/ServicesPage.tsx;src/app/components/ProductsPage.tsx;src/app/components/ContactPage.tsx;src/app/components/LoginPage.tsx;src/app/components/AdminDashboard.tsx;src/app/components/ClientDashboard.tsx;./components/AdvisorPanel;./types;./data/mockData
src/app/components/AboutPage.tsx,8,src/app/components/NavigationBar.tsx;src/app/components/Footer.tsx;src/app/components/VideoCarousel.tsx;lucide-react;../types;framer-motion;react;figma:asset/bbd6b9715c11e30fd86dca5ed1c93fd1d8ff5eea.png
src/app/components/ActivityTimeline.tsx,4,src/app/components/ui/card.tsx;src/app/components/ui/badge.tsx;src/app/components/ui/scroll-area.tsx;lucide-react
src/app/components/AdminDashboard.tsx,41,react;lucide-react;src/app/components/ui/card.tsx;src/app/components/ui/button.tsx;src/app/components/ui/badge.tsx;src/app/components/ui/input.tsx;src/app/components/ui/label.tsx;src/app/components/ui/select.tsx;src/app/components/ui/dialog.tsx;src/app/components/ui/textarea.tsx;src/app/components/ui/scroll-area.tsx;src/app/components/ui/table.tsx;src/app/components/ui/tabs.tsx;sonner;recharts;src/assets/images/logos/surtitelas-logo.jpg;src/app/features/admin/DashboardGeneral.tsx;src/app/features/admin/ConfiguracionModule.tsx;src/app/features/admin/UsuariosModule.tsx;src/app/features/admin/InventarioModule.tsx;src/app/features/admin/ProduccionModule.tsx;src/app/features/admin/VentasModule.tsx;src/app/features/admin/DevolucionesModule.tsx;src/app/features/admin/ReportesModule.tsx;src/app/features/admin/HistorialPagosModule.tsx;src/app/features/admin/InsumosModule.tsx;src/app/features/admin/ClientesModule.tsx;src/app/features/admin/DomiciliosModule.tsx;src/app/features/admin/NotificationsDropdown.tsx;src/app/features/asesor/MisClientesModule.tsx;src/app/features/asesor/ComisionesModule.tsx;src/app/features/domiciliario/EntregasModule.tsx;src/app/features/domiciliario/RutasModule.tsx;src/app/features/cliente/ResumenCliente.tsx;src/app/features/cliente/MisPedidosCliente.tsx;src/app/features/cliente/DireccionesCliente.tsx;src/app/features/cliente/MetodosPagoCliente.tsx;src/app/features/cliente/MiPerfilCliente.tsx;src/app/features/cliente/CatalogoCliente.tsx;src/app/config/menuConfig.ts;src/presentation/contexts/ThemeContext.tsx
src/app/components/AdvisorAssistant.tsx,9,react;lucide-react;src/app/components/ui/card.tsx;src/app/components/ui/button.tsx;src/app/components/ui/textarea.tsx;src/app/components/ui/badge.tsx;src/app/components/figma/ImageWithFallback.tsx;../types;src/app/components/ui/collapsible.tsx
src/app/components/AdvisorMetrics.tsx,5,lucide-react;src/app/components/ui/card.tsx;src/app/components/ui/badge.tsx;src/app/components/ui/progress.tsx;../types
src/app/components/AdvisorPanelSidebar.tsx,15,react;lucide-react;src/app/components/ui/card.tsx;src/app/components/ui/button.tsx;src/app/components/ui/badge.tsx;src/app/components/ui/input.tsx;src/app/components/ui/label.tsx;src/app/components/ui/textarea.tsx;src/app/components/ui/dialog.tsx;../types;sonner;src/app/components/LoadingScreen.tsx;../data/mockData;figma:asset/6b1b01bec62a36f96143e42f8161cda0f047b918.png;framer-motion
src/app/components/AdvisorRatingSection.tsx,12,react;lucide-react;src/app/components/ui/card.tsx;src/app/components/ui/button.tsx;src/app/components/ui/textarea.tsx;src/app/components/ui/label.tsx;src/app/components/ui/badge.tsx;src/app/components/ui/dialog.tsx;src/app/components/ui/scroll-area.tsx;../types;sonner;src/app/components/figma/ImageWithFallback.tsx
src/app/components/AdvisorRatingsManagement.tsx,13,react;lucide-react;src/app/components/ui/card.tsx;src/app/components/ui/button.tsx;src/app/components/ui/badge.tsx;src/app/components/ui/textarea.tsx;src/app/components/ui/label.tsx;src/app/components/ui/tabs.tsx;src/app/components/ui/select.tsx;src/app/components/ui/scroll-area.tsx;src/app/components/ui/dialog.tsx;../types;sonner
