CURRENT_PATH,TARGET_PATH,ACTION,REASON
src\app\components\AboutPage.tsx,src/features/public/components/AboutPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ActivityTimeline.tsx,src/features/public/components/ActivityTimeline.tsx,MOVE,Componente público a estructura feature-based
src\app\components\AdminDashboard.tsx,src/features/public/components/AdminDashboard.tsx,MOVE,Componente público a estructura feature-based
src\app\components\AdvisorAssistant.tsx,src/features/public/components/AdvisorAssistant.tsx,MOVE,Componente público a estructura feature-based
src\app\components\AdvisorMetrics.tsx,src/features/public/components/AdvisorMetrics.tsx,MOVE,Componente público a estructura feature-based
src\app\components\AdvisorPanelSidebar.tsx,src/features/public/components/AdvisorPanelSidebar.tsx,MOVE,Componente público a estructura feature-based
src\app\components\AdvisorRatingSection.tsx,src/features/public/components/AdvisorRatingSection.tsx,MOVE,Componente público a estructura feature-based
src\app\components\AdvisorRatingsManagement.tsx,src/features/public/components/AdvisorRatingsManagement.tsx,MOVE,Componente público a estructura feature-based
src\app\components\BlogPage.tsx,src/features/public/components/BlogPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\BottomNavigation.tsx,src/features/public/components/BottomNavigation.tsx,MOVE,Componente público a estructura feature-based
src\app\components\CartPage.tsx,src/features/public/components/CartPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\CartSidebar.tsx,src/features/public/components/CartSidebar.tsx,MOVE,Componente público a estructura feature-based
src\app\components\CatalogPage.tsx,src/features/public/components/CatalogPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ClientDashboard.tsx,src/features/public/components/ClientDashboard.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ClientDashboardNew.tsx,src/features/public/components/ClientDashboardNew.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ClientManagement.tsx,src/features/public/components/ClientManagement.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ClientNotes.tsx,src/features/public/components/ClientNotes.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ContactPage.tsx,src/features/public/components/ContactPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\DashboardOverview.tsx,src/features/public/components/DashboardOverview.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ErrorBoundary.tsx,src/features/public/components/ErrorBoundary.tsx,MOVE,Componente público a estructura feature-based
src\app\components\FigmaExportView.tsx,src/features/public/components/FigmaExportView.tsx,MOVE,Componente público a estructura feature-based
src\app\components\Footer.tsx,src/features/public/components/Footer.tsx,MOVE,Componente público a estructura feature-based
src\app\components\GlobalSearch.tsx,src/features/public/components/GlobalSearch.tsx,MOVE,Componente público a estructura feature-based
src\app\components\HeroCarousel.tsx,src/features/public/components/HeroCarousel.tsx,MOVE,Componente público a estructura feature-based
src\app\components\HomePage.tsx,src/features/public/components/HomePage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\InventoryAlerts.tsx,src/features/public/components/InventoryAlerts.tsx,MOVE,Componente público a estructura feature-based
src\app\components\LoadingScreen.tsx,src/features/public/components/LoadingScreen.tsx,MOVE,Componente público a estructura feature-based
